Squats,,
Squats with overhead press,Weights,
Squat pulses,,
Wall sit,,
Reverse lunge,,paired 
Curtsy lunge,,paired
Reverse lunge TRX,TRX,paired
Curtsy lunge TRX,TRX,paired
One leg squat TRX,TRX,paired
Lunge pulses,,paired
One leg bridge lifts,,paired
Hamstring curls TRX,TRX,
Glute bridge raises TRX,TRX,
Reverse lunge with bicep curl,Weights,paired
One leg dead lift,Weights,paired
Side lunge on towel,,paired
Kettlebell swings,kettlebell,
TRX hip press,TRX,
TRX hip abduction,TRX,